Recall,Precision_awning-tricycle,Precision_bicycle,Precision_bus,Precision_car,Precision_freight_car,Precision_motor,Precision_person,Precision_tricycle,Precision_truck,Precision_van
0.20020,0.24773,0.26034,1.00000,0.99951,0.86857,0.82954,0.93217,0.65217,0.96831,0.91411
0.20120,0.24773,0.25874,1.00000,0.99951,0.86857,0.82872,0.93196,0.64923,0.96831,0.91411
0.20220,0.24773,0.25765,1.00000,0.99951,0.86857,0.82845,0.93196,0.64742,0.96831,0.91411
0.20320,0.24773,0.25534,1.00000,0.99951,0.86857,0.82612,0.93196,0.64742,0.96831,0.91411
0.20420,0.24773,0.25534,1.00000,0.99951,0.86857,0.82411,0.93196,0.64264,0.96831,0.91411
0.20521,0.24609,0.25456,1.00000,0.99951,0.86857,0.82228,0.93196,0.63988,0.96831,0.91411
0.20621,0.24609,0.24837,1.00000,0.99951,0.86857,0.81943,0.93196,0.63905,0.96636,0.91411
0.20721,0.24348,0.24655,1.00000,0.99951,0.86857,0.81906,0.93196,0.63689,0.96636,0.91411
0.20821,0.24348,0.24655,1.00000,0.99951,0.86857,0.81636,0.93126,0.63689,0.96636,0.91411
0.20921,0.24348,0.24360,1.00000,0.99951,0.86857,0.81514,0.93043,0.63689,0.96636,0.91411
0.21021,0.24348,0.24360,1.00000,0.99951,0.86857,0.81284,0.92991,0.63689,0.96636,0.91411
0.21121,0.23789,0.24360,1.00000,0.99951,0.86857,0.81284,0.92991,0.63689,0.96636,0.91411
0.21221,0.23789,0.24360,1.00000,0.99951,0.86857,0.81284,0.92974,0.63636,0.96636,0.91411
0.21321,0.23457,0.24360,1.00000,0.99930,0.86857,0.81085,0.92974,0.63636,0.96636,0.90964
0.21421,0.23457,0.24360,1.00000,0.99930,0.86667,0.81052,0.92893,0.63636,0.96636,0.90964
0.21522,0.22638,0.24024,1.00000,0.99930,0.86667,0.80828,0.92850,0.62637,0.96636,0.90964
0.21622,0.22359,0.23308,1.00000,0.99930,0.86667,0.80749,0.92790,0.62637,0.96636,0.90476
0.21722,0.22359,0.23217,1.00000,0.99930,0.86667,0.80726,0.92761,0.62637,0.96636,0.90476
0.21822,0.22359,0.23115,1.00000,0.99930,0.86667,0.80726,0.92760,0.61230,0.96636,0.90476
0.21922,0.22359,0.22971,1.00000,0.99930,0.86667,0.80631,0.92760,0.60836,0.96636,0.90476
0.22022,0.22359,0.22811,1.00000,0.99930,0.86667,0.80624,0.92760,0.60836,0.96636,0.90476
