Recall,Precision_pedestrian,Precision_people,Precision_bicycle,Precision_car,Precision_van,Precision_truck,Precision_tricycle,Precision_awning-tricycle,Precision_bus,Precision_motor
0.19920,0.91727,0.76768,0.25886,0.97317,0.84009,0.78061,0.60172,0.32923,0.96923,0.82194
0.20020,0.91671,0.76768,0.25886,0.97317,0.83721,0.78061,0.60172,0.32923,0.96923,0.81977
0.20120,0.91525,0.76672,0.25886,0.97317,0.83716,0.78061,0.59664,0.32733,0.96923,0.81977
0.20220,0.91522,0.76341,0.25886,0.97317,0.83716,0.78061,0.59664,0.32733,0.96923,0.81924
0.20320,0.91417,0.76073,0.25886,0.97317,0.83673,0.78061,0.59664,0.32733,0.96923,0.81891
0.20420,0.91309,0.76012,0.25886,0.97316,0.83673,0.77889,0.58953,0.32733,0.96923,0.81891
0.20521,0.91174,0.76012,0.25828,0.97316,0.83673,0.77889,0.58743,0.32641,0.96923,0.81891
0.20621,0.91120,0.75934,0.25825,0.97316,0.83673,0.77889,0.57761,0.32641,0.96923,0.81891
0.20721,0.91120,0.75803,0.25772,0.97316,0.83673,0.77612,0.57761,0.30163,0.96923,0.81891
0.20821,0.91120,0.75388,0.25670,0.97316,0.83468,0.77512,0.57761,0.30163,0.96923,0.81891
0.20921,0.91106,0.75087,0.25472,0.97316,0.83468,0.77512,0.57761,0.29815,0.96923,0.81855
0.21021,0.91043,0.74861,0.25254,0.97316,0.83300,0.77512,0.57761,0.29815,0.96923,0.81825
0.21121,0.90914,0.74535,0.25254,0.97316,0.83300,0.77512,0.57761,0.29815,0.96923,0.81825
0.21221,0.90905,0.74284,0.24932,0.97316,0.83168,0.77512,0.57761,0.29815,0.96923,0.81825
0.21321,0.90813,0.74253,0.24842,0.97316,0.83104,0.77512,0.57761,0.29231,0.96923,0.81754
0.21421,0.90670,0.74181,0.24490,0.97316,0.83008,0.77512,0.57761,0.29231,0.96923,0.81585
0.21522,0.90542,0.74181,0.24117,0.97316,0.82718,0.77512,0.57761,0.28894,0.96923,0.81487
0.21622,0.90364,0.74181,0.24117,0.97316,0.82510,0.77251,0.57761,0.28818,0.96923,0.81385
