                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 1.2581,                0.90721,                 1.0462,                0.56271,                0.45619,                0.47545,                0.27382,                 1.3278,                0.88316,                 1.0361,               0.001568,               0.001568,               0.001568
                     99,                  1.252,                0.89718,                 1.0435,                0.56629,                0.45577,                0.47583,                 0.2738,                 1.3275,                0.88168,                 1.0356,              0.0015635,              0.0015635,              0.0015635
                    100,                 1.2493,                0.90407,                 1.0424,                0.56584,                0.45602,                0.47487,                0.27362,                 1.3242,                0.88087,                 1.0346,               0.001559,               0.001559,               0.001559
                    101,                 1.2472,                0.89633,                 1.0422,                0.55847,                0.46099,                0.47533,                0.27423,                 1.3286,                0.88103,                 1.0351,              0.0015545,              0.0015545,              0.0015545
                    102,                 1.2404,                0.89357,                 1.0411,                0.56596,                0.45713,                0.47565,                 0.2748,                 1.3261,                0.88136,                 1.0344,                0.00155,                0.00155,                0.00155
                    103,                 1.2434,                0.88858,                 1.0387,                0.56813,                0.45652,                0.47612,                0.27547,                 1.3257,                0.88051,                 1.0338,              0.0015455,              0.0015455,              0.0015455
                    104,                 1.2533,                0.89278,                 1.0428,                0.56117,                0.46217,                0.47663,                0.27557,                 1.3221,                0.87853,                 1.0328,               0.001541,               0.001541,               0.001541
                    105,                 1.2402,                0.88669,                 1.0395,                0.56073,                0.46195,                0.47805,                0.27717,                 1.3137,                0.87499,                  1.031,              0.0015365,              0.0015365,              0.0015365
                    106,                 1.2373,                 0.8808,                 1.0384,                0.56277,                0.46247,                0.47935,                0.27859,                 1.3069,                0.87319,                 1.0294,               0.001532,               0.001532,               0.001532
                    107,                 1.2377,                0.87832,                 1.0353,                0.56482,                0.46224,                0.47994,                0.27868,                 1.3073,                0.87248,                 1.0295,              0.0015275,              0.0015275,              0.0015275
